old_clade	new_clade	cutoff	divergence_addition	divergence_scale	min_size	bushiness_branch_scale	branch_length_scale	score	bushiness	div	branch_score
9	60	1.1	0.9	5.0	10.0	9.0	5.0	1.1426228561340614	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	33	1.1	0.9	5.0	20.0	9.0	5.0	1.1862516237949385	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	24	1.1	0.9	5.0	30.0	9.0	5.0	1.1986885379933752	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	74	1.1	1.1	5.0	10.0	9.0	5.0	1.292419453203941	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	40	1.1	1.1	5.0	20.0	9.0	5.0	1.3487826183474376	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	28	1.1	1.1	5.0	30.0	9.0	5.0	1.3666798691698079	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	29	1.2	0.5	5.0	10.0	9.0	5.0	0.849144057787568	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	18	1.2	0.5	5.0	20.0	9.0	5.0	0.864130777738305	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	13	1.2	0.5	5.0	30.0	9.0	5.0	0.8695880909042234	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	41	1.2	0.7	5.0	10.0	9.0	5.0	1.0000570640874997	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	23	1.2	0.7	5.0	20.0	9.0	5.0	1.028651617520946	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	18	1.2	0.7	5.0	30.0	9.0	5.0	1.0363661359778742	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	57	1.2	0.9	5.0	10.0	9.0	5.0	1.1432745782269698	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	33	1.2	0.9	5.0	20.0	9.0	5.0	1.1832035448965883	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	24	1.2	0.9	5.0	30.0	9.0	5.0	1.1995105347068464	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	69	1.2	1.1	5.0	10.0	9.0	5.0	1.2905490068141308	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	38	1.2	1.1	5.0	20.0	9.0	5.0	1.3456027311483152	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	27	1.2	1.1	5.0	30.0	9.0	5.0	1.3658089927358354	0.2788825003690834	0.09102154929577501	0.16227915282853625
